"year","month","day","week","death","temp"
2000,5,19,1482,36,10.4232727050781
2000,5,20,1482,46,11.0899597167969
2000,5,21,1482,41,11.2824951171875
2000,5,22,1483,39,12.1265502929688
2000,5,23,1483,52,14.7534118652344
2000,5,24,1483,43,15.0254150390625
2000,5,25,1483,47,13.6874328613281
2000,5,26,1483,39,14.3081604003906
2000,5,27,1483,34,12.2098937988281
2000,5,28,1483,44,12.3215576171875
2000,5,29,1484,32,11.4092651367188
2000,5,30,1484,41,11.5324035644531
2000,5,31,1484,49,13.9759765625
2000,6,1,1484,40,15.9272399902344
2000,6,2,1484,46,18.8645568847656
2000,6,3,1484,53,19.3070922851563
2000,6,4,1484,44,16.1444641113281
2000,6,5,1485,55,12.5015502929688
2000,6,6,1485,42,13.6040893554688
2000,6,7,1485,47,14.0827270507813
2000,6,8,1485,56,16.7134338378906
2000,6,9,1485,51,19.8532653808594
2000,6,10,1485,39,14.5411010742188
2000,6,11,1485,42,14.2583862304688
2000,6,12,1486,32,15.6155334472656
2000,6,13,1486,44,17.8275695800781
2000,6,14,1486,39,17.3355346679688
2000,6,15,1486,46,16.97744140625
2000,6,16,1486,55,17.7044311523438
2000,6,17,1486,48,17.9042297363281
2000,6,18,1486,38,20.2459045410156
2000,6,19,1487,47,23.6236206054688
2000,6,20,1487,42,23.3077026367188
2000,6,21,1487,42,20.6873718261719
2000,6,22,1487,48,17.2170043945313
2000,6,23,1487,35,16.5622192382813
2000,6,24,1487,41,13.7634826660156
2000,6,25,1487,44,14.1541687011719
2000,6,26,1488,36,14.3879943847656
2000,6,27,1488,42,14.9968811035156
2000,6,28,1488,36,16.5058532714844
2000,6,29,1488,42,17.1046691894531
2000,6,30,1488,62,19.4850402832031
2000,7,1,1488,40,20.8421875
2000,7,2,1488,41,19.6218811035156
2000,7,3,1489,50,18.6843200683594
2000,7,4,1489,39,16.6711669921875
2000,7,5,1489,41,16.9765258789063
2000,7,6,1489,42,18.7512756347656
2000,7,7,1489,55,15.7570129394531
2000,7,8,1489,43,13.645654296875
2000,7,9,1489,47,13.9561401367188
2000,7,10,1490,40,14.6588684082031
2000,7,11,1490,37,13.4918151855469
2000,7,12,1490,32,13.8735900878906
2000,7,13,1490,52,14.8162170410156
2000,7,14,1490,31,14.6140075683594
2000,7,15,1490,34,13.8857666015625
2000,7,16,1490,42,12.837548828125
2000,7,17,1491,42,14.0269409179688
2000,7,18,1491,30,16.0189758300781
2000,7,19,1491,47,16.7559448242188
2000,7,20,1491,58,18.6492858886719
2000,7,21,1491,43,17.6525207519531
2000,7,22,1491,31,16.72548828125
2000,7,23,1491,54,19.5042053222656
2000,7,24,1492,58,16.9701782226563
2000,7,25,1492,45,16.6845336914063
2000,7,26,1492,50,17.6730590820313
2000,7,27,1492,34,17.5216003417969
2000,7,28,1492,55,17.0006652832031
2000,7,29,1492,44,16.7102905273438
2000,7,30,1492,27,16.8113952636719
2000,7,31,1493,43,18.8625732421875
2000,8,1,1493,41,21.3045593261719
2000,8,2,1493,44,17.87001953125
2000,8,3,1493,40,16.9396606445313
2000,8,4,1493,36,16.0586486816406
2000,8,5,1493,29,17.0378967285156
2000,8,6,1493,46,17.9072204589844
2000,8,7,1494,52,19.3802429199219
2000,8,8,1494,38,18.8453918457031
2000,8,9,1494,42,19.7690063476563
2000,8,10,1494,36,19.6860900878906
2000,8,11,1494,33,18.8372131347656
2000,8,12,1494,43,21.3872009277344
2000,8,13,1494,31,22.8094421386719
2000,8,14,1495,37,21.6912780761719
2000,8,15,1495,40,19.314599609375
2000,8,16,1495,36,19.3598266601563
2000,8,17,1495,38,19.0210205078125
2000,8,18,1495,41,19.0687805175781
